epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.258,0.91171,4.27369,1.31985,0.13648,0.13072,0.03582,0.0305,0.75186,3.30473,1.11133,0.00332698,0.00332698,0.00332698
2,229.174,0.90332,3.4918,1.28709,0.09944,0.16599,0.05445,0.04056,0.93976,3.23998,1.1891,0.00659438,0.00659438,0.00659438
3,328.834,1.03157,3.37924,1.34286,0.18337,0.12097,0.04879,0.03692,1.05788,3.30893,1.31092,0.00979578,0.00979578,0.00979578
4,427.767,1.11906,3.40569,1.3914,0.21864,0.14462,0.04942,0.03771,1.02713,3.13689,1.28502,0.009703,0.009703,0.009703
5,526.766,1.09575,3.22107,1.35929,0.215,0.14697,0.06992,0.05343,1.01009,2.99177,1.23734,0.009604,0.009604,0.009604
6,625.584,1.0399,3.054,1.32385,0.17787,0.20043,0.08552,0.06715,0.90161,2.83878,1.17339,0.009505,0.009505,0.009505
7,724.839,1.02762,2.96785,1.31136,0.1916,0.20925,0.09832,0.07866,0.87602,2.73654,1.14943,0.009406,0.009406,0.009406
8,824.012,0.96848,2.84248,1.27753,0.12304,0.23682,0.12872,0.10488,0.81179,2.61423,1.10409,0.009307,0.009307,0.009307
9,922.92,0.95748,2.73653,1.26435,0.22097,0.22639,0.14369,0.12122,0.77088,2.49749,1.08434,0.009208,0.009208,0.009208
10,1021.93,0.92228,2.65856,1.24238,0.17735,0.26495,0.17315,0.1447,0.76695,2.48028,1.0729,0.009109,0.009109,0.009109
11,1121.07,0.90237,2.60976,1.23307,0.20324,0.23067,0.16661,0.14216,0.72722,2.4025,1.04836,0.00901,0.00901,0.00901
12,1219.61,0.89543,2.51852,1.22487,0.21986,0.27614,0.19731,0.16269,0.73219,2.33606,1.05725,0.008911,0.008911,0.008911
13,1318.75,0.87864,2.45629,1.2172,0.18314,0.2727,0.20792,0.17655,0.71947,2.30167,1.04608,0.008812,0.008812,0.008812
