epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.099,0.93315,4.46035,1.31201,0.13279,0.07803,0.01918,0.01421,0.88082,3.63306,1.21172,0.01,0.01,0.01
2,172.613,0.90418,4.08375,1.299,0.17245,0.09331,0.03726,0.02633,0.82969,3.4244,1.15997,0.009901,0.009901,0.009901
3,229.939,0.88393,3.93252,1.29406,0.22496,0.10452,0.04679,0.0336,0.81203,3.25115,1.15098,0.009802,0.009802,0.009802
4,287.786,0.86505,3.80629,1.28142,0.21222,0.11799,0.05273,0.04058,0.78688,3.18054,1.13246,0.009703,0.009703,0.009703
5,345.212,0.8507,3.72154,1.27721,0.23067,0.12354,0.06347,0.04714,0.80154,3.07383,1.14512,0.009604,0.009604,0.009604
6,402.491,0.84499,3.59689,1.27253,0.21711,0.13531,0.08291,0.06061,0.80586,3.01484,1.16385,0.009505,0.009505,0.009505
7,459.874,0.81772,3.51025,1.2538,0.23173,0.15228,0.10109,0.07442,0.76493,2.90654,1.1253,0.009406,0.009406,0.009406
8,517.309,0.82065,3.4151,1.25696,0.23048,0.15078,0.10746,0.08151,0.76227,2.87109,1.11859,0.009307,0.009307,0.009307
9,574.376,0.80691,3.34934,1.24515,0.24894,0.16286,0.12333,0.09099,0.75482,2.83944,1.11188,0.009208,0.009208,0.009208
10,631.723,0.79437,3.26482,1.23517,0.22299,0.18582,0.13068,0.09733,0.76176,2.81429,1.12378,0.009109,0.009109,0.009109
11,689.008,0.78996,3.18231,1.23454,0.27137,0.15195,0.13756,0.10474,0.7417,2.76624,1.11036,0.00901,0.00901,0.00901
12,746.165,0.77317,3.11051,1.2227,0.30843,0.18253,0.15851,0.12232,0.73989,2.69227,1.0991,0.008911,0.008911,0.008911
13,803.315,0.77668,3.08477,1.23093,0.27751,0.2105,0.17136,0.12667,0.72929,2.6225,1.10286,0.008812,0.008812,0.008812
14,860.486,0.75565,2.98462,1.2151,0.31431,0.20496,0.18316,0.14056,0.73496,2.62059,1.1016,0.008713,0.008713,0.008713
15,917.826,0.75794,2.9282,1.21199,0.28577,0.24312,0.19859,0.15251,0.72669,2.53793,1.10043,0.008614,0.008614,0.008614
16,974.858,0.75797,2.89195,1.21205,0.32163,0.22739,0.19939,0.15332,0.72267,2.54421,1.09174,0.008515,0.008515,0.008515
17,1032.15,0.74916,2.82155,1.20777,0.33923,0.23656,0.20868,0.15964,0.73308,2.51244,1.1029,0.008416,0.008416,0.008416
18,1089.11,0.74266,2.79437,1.20688,0.3735,0.226,0.21656,0.16737,0.72062,2.47266,1.09635,0.008317,0.008317,0.008317
19,1146.56,0.73585,2.73478,1.20207,0.35908,0.23963,0.22612,0.17436,0.72243,2.42797,1.09743,0.008218,0.008218,0.008218
20,1203.28,0.73589,2.66688,1.1959,0.39412,0.24508,0.2432,0.18884,0.70855,2.40701,1.08598,0.008119,0.008119,0.008119
21,1260.75,0.72921,2.61776,1.18889,0.34032,0.2599,0.23571,0.18388,0.71312,2.37634,1.08262,0.00802,0.00802,0.00802
22,1317.38,0.71799,2.59738,1.18707,0.39081,0.25646,0.25231,0.20152,0.7012,2.37768,1.07413,0.007921,0.007921,0.007921
23,1374.62,0.71211,2.53456,1.18495,0.38577,0.27667,0.2733,0.21436,0.70644,2.31564,1.0873,0.007822,0.007822,0.007822
24,1431.58,0.71172,2.48168,1.17663,0.36055,0.28879,0.26623,0.21247,0.69036,2.33238,1.06495,0.007723,0.007723,0.007723
25,1488.4,0.69701,2.45267,1.17396,0.37892,0.27597,0.26914,0.2138,0.69667,2.30817,1.07486,0.007624,0.007624,0.007624
26,1545.32,0.70552,2.4125,1.17985,0.42723,0.29703,0.28993,0.23252,0.6943,2.26198,1.07561,0.007525,0.007525,0.007525
27,1602.13,0.68127,2.31332,1.1602,0.37851,0.28827,0.27917,0.22234,0.70517,2.2837,1.08623,0.007426,0.007426,0.007426
28,1659.03,0.68599,2.31849,1.1587,0.42459,0.28537,0.30024,0.24004,0.69546,2.22586,1.07462,0.007327,0.007327,0.007327
29,1715.85,0.68178,2.26501,1.16389,0.43339,0.28358,0.28527,0.23496,0.68665,2.26324,1.07472,0.007228,0.007228,0.007228
30,1772.47,0.67841,2.22865,1.15176,0.43905,0.29649,0.29696,0.23943,0.69021,2.2363,1.07421,0.007129,0.007129,0.007129
31,1829.15,0.68195,2.20002,1.15395,0.37331,0.31198,0.29035,0.23617,0.68698,2.24575,1.07375,0.00703,0.00703,0.00703
32,1885.94,0.66854,2.14496,1.14229,0.4381,0.3012,0.30728,0.24878,0.6995,2.20773,1.07797,0.006931,0.006931,0.006931
33,1942.6,0.66252,2.13646,1.14507,0.4282,0.31259,0.30979,0.24996,0.69237,2.18786,1.07898,0.006832,0.006832,0.006832
34,1999.61,0.66633,2.10074,1.15053,0.47818,0.28635,0.30871,0.25257,0.67925,2.17833,1.06956,0.006733,0.006733,0.006733
35,2056.41,0.65972,2.07771,1.14135,0.4592,0.31435,0.32362,0.26779,0.66613,2.1673,1.05429,0.006634,0.006634,0.006634
36,2113.21,0.65857,2.0405,1.14089,0.43279,0.31977,0.32137,0.26385,0.68386,2.17561,1.06798,0.006535,0.006535,0.006535
37,2169.91,0.65349,1.99564,1.13119,0.43965,0.34126,0.33416,0.27577,0.67731,2.11591,1.06422,0.006436,0.006436,0.006436
38,2226.38,0.64211,1.97764,1.12883,0.51199,0.31297,0.33049,0.27107,0.67997,2.15969,1.06919,0.006337,0.006337,0.006337
39,2283.11,0.64664,1.98484,1.13437,0.51584,0.31506,0.34222,0.28002,0.67995,2.15247,1.06451,0.006238,0.006238,0.006238
40,2339.78,0.63941,1.92509,1.12233,0.54327,0.30983,0.34471,0.28203,0.67445,2.13226,1.05908,0.006139,0.006139,0.006139
41,2396.79,0.63687,1.8979,1.12184,0.4593,0.32447,0.34008,0.27945,0.67663,2.11335,1.06727,0.00604,0.00604,0.00604
42,2453.09,0.63448,1.88122,1.12165,0.5173,0.31388,0.34142,0.2853,0.66342,2.11449,1.061,0.005941,0.005941,0.005941
43,2510.17,0.62814,1.85725,1.11334,0.47338,0.33699,0.34824,0.28582,0.68626,2.10771,1.07138,0.005842,0.005842,0.005842
