epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.572,0.95465,3.98494,1.31228,0.14316,0.11109,0.04486,0.03713,0.77301,3.0928,1.09128,0.000118,0.000118,0.000118
2,234.334,0.87316,3.21442,1.23848,0.14104,0.18099,0.07592,0.06405,0.70495,2.84054,1.04356,0.000115664,0.000115664,0.000115664
3,334.758,0.83255,2.94162,1.20433,0.12211,0.25103,0.12012,0.10466,0.6677,2.66094,1.01684,0.000113327,0.000113327,0.000113327
4,434.443,0.78978,2.72663,1.18119,0.18274,0.27267,0.15458,0.13266,0.63948,2.45809,0.99178,0.000110991,0.000110991,0.000110991
5,534.391,0.7714,2.54873,1.16702,0.23348,0.2992,0.20037,0.17091,0.61133,2.31405,0.97917,0.000108654,0.000108654,0.000108654
6,633.922,0.74618,2.39074,1.14395,0.25571,0.32184,0.21706,0.1862,0.6272,2.31043,0.983,0.000106318,0.000106318,0.000106318
7,734.2,0.73315,2.2955,1.14829,0.29997,0.30909,0.25016,0.22026,0.58716,2.16088,0.96137,0.000103982,0.000103982,0.000103982
8,834.212,0.7157,2.16318,1.13197,0.28709,0.3215,0.2685,0.23556,0.60647,2.1529,0.97396,0.000101645,0.000101645,0.000101645
9,934.193,0.7027,2.03229,1.12053,0.33062,0.34027,0.32562,0.28749,0.58194,1.98781,0.96072,9.93088e-05,9.93088e-05,9.93088e-05
10,1034.07,0.68781,1.93165,1.11296,0.33692,0.36955,0.33434,0.29113,0.59778,1.99611,0.972,9.69724e-05,9.69724e-05,9.69724e-05
11,1133.93,0.68397,1.84986,1.10843,0.40256,0.36821,0.37246,0.32931,0.57094,1.88379,0.95768,9.4636e-05,9.4636e-05,9.4636e-05
12,1233.49,0.66747,1.77684,1.09959,0.3927,0.404,0.39295,0.34421,0.56501,1.81447,0.95742,9.22996e-05,9.22996e-05,9.22996e-05
